start,end,speaker,text
24.45,31.59,N_SPK8003,这不是快到了教师节了吗，那个看看都给孩子就是老师送点什么呀，给他们班主任嗯。
26.31,26.6,N_SPK8004,嗯。
32.12,32.47,N_SPK8004,嗯。
32.73,35.32,N_SPK8003,那个你们有什么好想法吗？
36.75,39.67,N_SPK8004,我觉得这个来说呢，可能是。
40.74,54.95,N_SPK8004,双份儿表示，家长去送一份儿，可能孩子可能自己画了个画儿，也给送给老师，我觉得这样是不是好一些？还是说家长代表了孩子，代表了家长单独送给老师。
47.56,47.93,N_SPK8002,孩子。
49.05,49.45,N_SPK8002,孩子。
54.33,62.1,N_SPK8002,我觉得双，我觉得是双份儿，然后让自个儿的孩子做一个手工或者画个画儿，做一个手工创意这方面的，对。
59.61,59.9,N_SPK8004,嗯。
60.83,65.39,N_SPK8004,画了一个画儿，然后让家长买一个比较精美的框儿给裱起来。
65.66,78.84,N_SPK8002,哦，可以，然后还可以像，如果要是家长送，比方说因为老师嘛，然后一天上课要讲很多话，比方说保温杯啊，或者是，提提神补脑的，比方说三只松鼠这种零食。
72.84,73.13,N_SPK8004,嗯。
79.21,87.75,N_SPK8002,我觉得可能都可以选择，然后还有像小型的按摩的这方面的，不用特别大就很小，就一百一百一一两百块钱。
81.19,81.64,N_SPK8004,嗯。
87.75,96.28,N_SPK8002,然后像这种礼物呢，我觉得可以由家长来去送，如果孩子有点太，太明显了，如果拿到学校就有点儿太明显了。
90.46,90.94,N_SPK8004,嗯。
96.75,110.28,N_SPK8001,这个孩子呀嗯小孩儿，分咱们这孩子大小那个太小的小孩儿就没必要送了，太小的你你上一二年级，他还不懂得那么多是吧，四五年级。
97.88,98.22,N_SPK8004,嗯。
108.09,108.5,N_SPK8004,嗯。
108.81,119.62,N_SPK8002,我觉得像像像，我觉得上一二小级的那种的，那就由由由家长来代去送，做一贺卡这种的就可以，但也不能说我上一二年级，我不送了这。
109.83,110.17,N_SPK8004,对。
119.52,125.89,N_SPK8001,一二年级小孩儿他可以你叫给老给老师，那个画个那个画个画个画。
120.1,120.47,N_SPK8004,嗯。
120.68,120.82,N_SPK8002,对。
