,segment,label,speaker,start,end
0,[ 00:00:00.059 -->  00:00:00.823],A,SPEAKER_03,0.06,0.82
1,[ 00:00:24.303 -->  00:00:31.247],B,SPEAKER_00,24.3,31.25
2,[ 00:00:32.028 -->  00:00:32.300],C,SPEAKER_01,32.03,32.3
3,[ 00:00:32.504 -->  00:00:35.492],D,SPEAKER_00,32.5,35.49
4,[ 00:00:36.612 -->  00:00:39.770],E,SPEAKER_01,36.61,39.77
5,[ 00:00:40.398 -->  00:00:54.983],F,SPEAKER_01,40.4,54.98
6,[ 00:00:54.151 -->  00:01:02.249],G,SPEAKER_03,54.15,62.25
7,[ 00:00:59.567 -->  00:01:00.059],H,SPEAKER_01,59.57,60.06
8,[ 00:01:00.263 -->  00:01:05.407],I,SPEAKER_01,60.26,65.41
9,[ 00:01:05.594 -->  00:01:32.996],J,SPEAKER_03,65.59,93.0
10,[ 00:01:20.976 -->  00:01:21.621],K,SPEAKER_00,80.98,81.62
11,[ 00:01:30.432 -->  00:01:30.568],L,SPEAKER_02,90.43,90.57
12,[ 00:01:33.573 -->  00:01:36.205],M,SPEAKER_03,93.57,96.21
13,[ 00:01:36.629 -->  00:01:43.200],N,SPEAKER_02,96.63,103.2
14,[ 00:01:43.896 -->  00:01:46.426],O,SPEAKER_02,103.9,106.43
15,[ 00:01:46.561 -->  00:01:51.146],P,SPEAKER_02,106.56,111.15
16,[ 00:01:48.395 -->  00:02:00.908],Q,SPEAKER_03,108.4,120.91
17,[ 00:01:59.499 -->  00:02:05.916],R,SPEAKER_02,119.5,125.92
18,[ 00:02:07.563 -->  00:02:21.859],S,SPEAKER_02,127.56,141.86
19,[ 00:02:21.485 -->  00:02:36.935],T,SPEAKER_01,141.49,156.94
20,[ 00:02:30.042 -->  00:02:32.164],U,SPEAKER_03,150.04,152.16
21,[ 00:02:34.490 -->  00:02:34.881],V,SPEAKER_03,154.49,154.88
22,[ 00:02:37.682 -->  00:02:55.424],W,SPEAKER_01,157.68,175.42
23,[ 00:02:55.611 -->  00:03:09.770],X,SPEAKER_03,175.61,189.77
24,[ 00:03:08.718 -->  00:03:19.499],Y,SPEAKER_02,188.72,199.5
25,[ 00:03:11.519 -->  00:03:12.623],Z,SPEAKER_03,191.52,192.62
26,[ 00:03:17.818 -->  00:03:29.584],AA,SPEAKER_03,197.82,209.58
27,[ 00:03:24.422 -->  00:03:24.439],AB,SPEAKER_02,204.42,204.44
28,[ 00:03:24.439 -->  00:03:40.823],AC,SPEAKER_01,204.44,220.82
29,[ 00:03:40.823 -->  00:03:41.434],AD,SPEAKER_03,220.82,221.43
30,[ 00:03:41.434 -->  00:03:41.468],AE,SPEAKER_01,221.43,226.31
31,[ 00:03:45.645 -->  00:03:45.933],AG,SPEAKER_03,225.65,225.93
32,[ 00:03:46.884 -->  00:03:57.292],AH,SPEAKER_01,226.88,237.29
33,[ 00:03:50.246 -->  00:03:50.602],AI,SPEAKER_02,230.25,230.6
34,[ 00:03:57.988 -->  00:04:10.806],AJ,SPEAKER_02,237.99,250.81
35,[ 00:04:09.499 -->  00:04:19.957],AK,SPEAKER_00,249.5,259.96
36,[ 00:04:14.286 -->  00:04:14.745],AL,SPEAKER_02,254.29,254.75
37,[ 00:04:19.974 -->  00:04:20.008],AM,SPEAKER_00,259.97,264.93
38,[ 00:04:25.679 -->  00:04:33.964],AO,SPEAKER_00,265.68,273.96
39,[ 00:04:27.003 -->  00:04:27.529],AP,SPEAKER_01,267.0,267.53
40,[ 00:04:33.013 -->  00:04:38.446],AQ,SPEAKER_02,273.01,278.45
41,[ 00:04:39.193 -->  00:04:39.804],AR,SPEAKER_02,279.19,279.8
42,[ 00:04:39.431 -->  00:04:56.205],AS,SPEAKER_01,279.43,296.21
43,[ 00:04:45.033 -->  00:04:46.714],AT,SPEAKER_02,285.03,287.16
44,[ 00:04:54.083 -->  00:04:54.100],AV,SPEAKER_00,294.08,294.1
45,[ 00:04:54.100 -->  00:04:54.371],AW,SPEAKER_02,294.1,294.37
46,[ 00:04:56.612 -->  00:05:01.723],AX,SPEAKER_01,296.61,301.72
47,[ 00:05:02.606 -->  00:05:10.076],AY,SPEAKER_01,302.61,310.08
48,[ 00:05:09.380 -->  00:05:21.281],AZ,SPEAKER_03,309.38,321.28
49,[ 00:05:11.977 -->  00:05:13.098],BA,SPEAKER_01,311.98,313.1
50,[ 00:05:21.689 -->  00:05:30.449],BB,SPEAKER_03,321.69,330.45
51,[ 00:05:31.536 -->  00:05:33.488],BC,SPEAKER_01,331.54,333.49
52,[ 00:05:32.181 -->  00:05:38.005],BD,SPEAKER_02,332.18,338.01
53,[ 00:05:34.592 -->  00:05:34.864],BE,SPEAKER_01,334.59,334.86
54,[ 00:05:38.293 -->  00:05:39.957],BF,SPEAKER_02,338.29,339.96
55,[ 00:05:41.519 -->  00:05:43.200],BG,SPEAKER_02,341.52,343.2
56,[ 00:05:42.707 -->  00:05:45.475],BH,SPEAKER_01,342.71,345.48
57,[ 00:05:45.899 -->  00:05:59.567],BI,SPEAKER_01,345.9,359.57
58,[ 00:05:53.726 -->  00:05:54.507],BJ,SPEAKER_03,353.73,354.51
59,[ 00:05:55.322 -->  00:05:55.577],BK,SPEAKER_03,355.32,355.58
60,[ 00:05:59.668 -->  00:05:59.889],BL,SPEAKER_01,359.67,359.89
61,[ 00:05:59.889 -->  00:05:59.923],BM,SPEAKER_02,359.89,364.97
62,[ 00:00:00.178 -->  00:00:00.857],B,SPEAKER_00,360.18,360.86
63,[ 00:00:03.964 -->  00:00:06.867],C,SPEAKER_00,363.96,366.87
64,[ 00:00:06.001 -->  00:00:15.848],D,SPEAKER_02,366.0,375.85
65,[ 00:00:14.219 -->  00:00:30.314],E,SPEAKER_01,374.22,390.31
66,[ 00:00:23.183 -->  00:00:23.455],F,SPEAKER_00,383.18,383.46
67,[ 00:00:23.455 -->  00:00:23.471],G,SPEAKER_02,383.46,383.47
68,[ 00:00:27.988 -->  00:00:34.592],H,SPEAKER_00,387.99,394.59
69,[ 00:00:31.570 -->  00:00:32.147],I,SPEAKER_01,391.57,392.15
70,[ 00:00:33.302 -->  00:00:44.813],J,SPEAKER_01,393.3,404.81
71,[ 00:00:43.964 -->  00:00:49.482],K,SPEAKER_03,403.96,409.48
72,[ 00:00:49.855 -->  00:00:51.570],L,SPEAKER_03,409.86,411.57
73,[ 00:00:52.181 -->  00:01:06.154],M,SPEAKER_00,412.18,426.15
74,[ 00:00:58.989 -->  00:00:59.006],N,SPEAKER_03,418.99,419.01
75,[ 00:00:59.006 -->  00:01:00.382],O,SPEAKER_01,419.01,420.38
76,[ 00:01:00.382 -->  00:01:00.568],P,SPEAKER_03,420.38,420.57
77,[ 00:01:01.774 -->  00:01:03.522],Q,SPEAKER_01,421.77,423.52
78,[ 00:01:04.575 -->  00:01:18.140],R,SPEAKER_01,424.58,438.14
79,[ 00:01:11.655 -->  00:01:11.876],S,SPEAKER_00,431.66,431.88
80,[ 00:01:14.898 -->  00:01:21.179],T,SPEAKER_03,434.9,441.18
81,[ 00:01:21.383 -->  00:01:33.013],U,SPEAKER_01,441.38,453.01
82,[ 00:01:33.488 -->  00:01:46.307],V,SPEAKER_02,453.49,466.31
83,[ 00:01:45.135 -->  00:02:25.492],W,SPEAKER_01,465.14,505.49
84,[ 00:01:48.531 -->  00:01:48.582],X,SPEAKER_00,468.53,468.58
85,[ 00:01:48.582 -->  00:01:48.684],Y,SPEAKER_02,468.58,468.68
86,[ 00:01:48.684 -->  00:01:48.786],Z,SPEAKER_00,468.68,468.79
87,[ 00:01:48.786 -->  00:01:48.887],AA,SPEAKER_02,468.79,468.89
88,[ 00:01:48.887 -->  00:01:48.989],AB,SPEAKER_00,468.89,468.99
89,[ 00:01:59.584 -->  00:01:59.821],AC,SPEAKER_02,479.58,479.82
90,[ 00:01:59.821 -->  00:01:59.923],AD,SPEAKER_03,479.82,479.92
91,[ 00:01:59.923 -->  00:01:59.991],AE,SPEAKER_02,479.92,479.99
92,[ 00:01:59.991 -->  00:02:00.993],AF,SPEAKER_03,479.99,480.99
93,[ 00:02:00.993 -->  00:02:02.266],AG,SPEAKER_02,480.99,482.27
94,[ 00:02:15.679 -->  00:02:16.290],AH,SPEAKER_03,495.68,496.29
95,[ 00:02:26.188 -->  00:02:28.684],AI,SPEAKER_01,506.19,508.68
96,[ 00:02:28.344 -->  00:02:51.791],AJ,SPEAKER_00,508.34,531.79
97,[ 00:02:39.685 -->  00:02:39.991],AK,SPEAKER_01,519.69,519.99
98,[ 00:02:39.991 -->  00:02:40.331],AL,SPEAKER_03,519.99,520.33
99,[ 00:02:52.487 -->  00:02:55.339],AM,SPEAKER_02,532.49,535.34
100,[ 00:02:52.707 -->  00:02:53.132],AN,SPEAKER_00,532.71,533.13
101,[ 00:02:53.336 -->  00:02:53.845],AO,SPEAKER_00,533.34,533.85
102,[ 00:02:56.324 -->  00:03:07.122],AP,SPEAKER_02,536.32,547.12
103,[ 00:03:08.005 -->  00:03:13.947],AQ,SPEAKER_00,548.01,553.95
104,[ 00:03:13.641 -->  00:03:18.310],AR,SPEAKER_03,553.64,558.31
105,[ 00:03:13.981 -->  00:03:14.830],AS,SPEAKER_00,553.98,554.83
106,[ 00:03:15.780 -->  00:03:16.035],AT,SPEAKER_00,555.78,556.04
107,[ 00:03:20.297 -->  00:03:24.049],AU,SPEAKER_00,560.3,564.05
108,[ 00:03:24.932 -->  00:03:29.940],AV,SPEAKER_00,564.93,569.94
109,[ 00:03:29.057 -->  00:03:29.091],AW,SPEAKER_01,569.06,569.67
110,[ 00:03:30.076 -->  00:03:35.526],AY,SPEAKER_00,570.08,575.53
111,[ 00:03:30.432 -->  00:03:30.993],AZ,SPEAKER_01,570.43,570.99
112,[ 00:03:30.993 -->  00:03:31.196],BA,SPEAKER_02,570.99,571.2
113,[ 00:03:31.196 -->  00:03:31.485],BB,SPEAKER_03,571.2,571.49
114,[ 00:03:31.485 -->  00:03:31.672],BC,SPEAKER_02,571.49,571.67
115,[ 00:03:37.342 -->  00:03:40.670],BD,SPEAKER_03,577.34,580.67
116,[ 00:03:37.988 -->  00:03:39.193],BE,SPEAKER_02,577.99,579.19
117,[ 00:03:40.229 -->  00:03:40.653],BF,SPEAKER_02,580.23,582.33
118,[ 00:03:42.266 -->  00:03:43.879],BH,SPEAKER_03,582.27,583.88
119,[ 00:03:42.334 -->  00:03:48.514],BI,SPEAKER_01,582.33,588.51
120,[ 00:03:48.005 -->  00:03:48.565],BJ,SPEAKER_02,588.01,588.57
121,[ 00:03:48.565 -->  00:04:01.910],BK,SPEAKER_01,588.57,601.91
122,[ 00:04:02.368 -->  00:04:02.402],BL,SPEAKER_02,602.37,602.4
123,[ 00:04:02.402 -->  00:04:06.392],BM,SPEAKER_01,602.4,606.39
124,[ 00:04:06.392 -->  00:04:07.988],BN,SPEAKER_02,606.39,607.99
