,index,text,start,end
0,0,你同時一天送了那太佳演了對 而且這個老師都不一定收拾我太子們也給老師送小了送了手工自己畫的畫什麼呢送了手工當天 教師節當天給老師畫個畫我有一提 肯定老師一樣我覺得這個同學一同學送一個必同學送一個不包括家長這就得好幾十份我覺得不如讓學生整體總體做一個,0.009,27.005
1,1,来一个团购加上绝对那个威胁里边这个心意是代表所有班的学生那么老师一是不会觉得尴尬二他会觉得我是实事明归啊我觉得像你刚才说的这个我觉得很能在家上去我觉得他们很能会考皮当地方面的,27.005,51.647
2,2,我觉得你说这个挺好的如果说大家各自送各自的老师就处于这个这个就说自己的失证这个形象是来当而且还不怪收而且还有一个A家庭比如说整件好他送的高一点B家庭条件的不好他送的低一点有的老师他会有比较那他不同意我觉得这个他代表不同意的老师不完全我觉得同学之间可能也会有比较,52.227,81.271
3,3,而且在有一个学生之间它们能去因为它们在一个班加长这边的话就可能你的家俩和我家俩都不认识咱这边的话可能家俩怎么就会更散但是我认为它要送动点送老师动点孩子们不肯同学们不可能到学好说我送老师什么他送老师什么就是教师节当天现在学生跟以前的学生都一样,81.271,109.241
4,4,现在学生就是我们家邻居那个你去过新加坡吗我去过他的话语当中就有一种这种自信然后这种的感觉那有可能他也可能比如我送家家这个宋老师什么样的礼品他可能你家不住家长他在后边去跟自己的孩子去去书去去贯数,109.445,139.309
5,5,所以的话这个方便来说如果要是学生散着送你送一个我送一个这样的话会不会不好想其实是这么回事吧你看马上这个国安年之后就六年级了其实小中初这个挺重要的你要说全班一块送其实也突出不来这个将来这个这个老师会不会对自己孩子能够额外的就说能够多去这个,139.309,166.169
6,6,对他严科一些能让他成绩能更加的有一定的上升的趋势我作为老师来讲给他不管谁给他什么理解他不应该就是说给他里面手小离不小他就是这个孩子因为我觉得在学校不应该有这种情况,166.391,187.381
7,7,你这一项果我们过去来讲那都是送的是挂力什么的没有什么像现在这么多科选项挂力那会儿是因为有没有一个跳什么就是摆着你叫什么摆着这个东西的这块选择反正这还是自己买自己的对吧但是咱们这个东西当时怎么送过去啊咱们直接自己带过去现在一般学校专门室都不给传递这个东西了,187.961,215.623
8,8,我觉得我还是给老师说你要是有穿你穿的老师一般的老师而且在学校送这个离品这个很不限制很不恰的因为学校是一个教学的地方你特意地去送礼物不管是说他是护演灯了还是说对老师有一些帮助的礼物都是不太好的氛围,217.329,242.125
9,9,因为你在学校送礼物这是什么意思老师现在不敢接受这块是一个问题咱们本身准备好了东西大伦林松王的人家不接你这个白忙活啊我觉得来说那就寄到家里现在的话有老师会家伙或者咱我列出几个选择或者准备那些礼品呢比较小 绣针的,242.415,270.862
10,10,然后比如说开家两会或者跟老师有单独接触的机会这样的话我觉得这种几种情况都是可以选择的咱们可以选择选择哪一种最适合我觉得像这种就是不是特别大这想起了我觉得就有和你们的孩子之间哪个学校叫为老师老师说是比较像相互严增或者比较大一点但就像方才说的,271.22,298.268
11,11,因为现在有一个问题就是如果要是说孩子去教给老师那么一个班二罗哥三罗哥学生那都自己拿自己都教过去那这个这个环节让校长看见这个是非常恶劣的但是这个怎么说呢因为去年吧我送了一架红酒给我们那个孩子的那个体育老师就之前他报那个的组织对报的网络根本就没到位置,298.712,325.026
12,12,反正后来这个给了他之后吧确实是给安排上了现在跟着一块新鲜的我觉得其实这送送东西还是有点偏差的不是说你送完了就没有什么意义啊就累了那就以什么形式送现在这是一个很关键对这个确实是因为比如说送到我的家里,325.845,349.053
13,13,你们现在去这个老师他肯定不会把助纸到你啊,349.753,359.991
